product_name,total_articles,analysis_period,avg_daily_articles,max_daily_articles,dominant_category,dominant_percentage,category_기업소식,category_병원발행,category_연예인,category_투자·주식,category_고객반응,category_기술자료,category_의학,category_기타,campaign_intensity,campaign_score,spike_dates_count,peak_date,peak_articles,number_promotion_articles,unique_numbers_count,celebrity_usage,marketing_keyword_score,competitor_mentions_count,top_competitor_mentioned,competitor_mentions_detail
슈링크,100,2025-10-29 ~ 2025-11-06,11.1,50,병원발행,39,14,39,6,0,0,0,0,14,HIGH,0.8,5,2025-11-03,50,0,0,수지(2),7,6,슈링크,"슈링크(188); 볼뉴머(5); 인모드(2); 울쎄라(2); 써마지(2); 올리지오(2)"
써마지,100,2025-10-28 ~ 2025-11-06,12.5,46,기업소식,77,77,22,1,0,0,0,0,0,HIGH,0.8,4,2025-10-29,46,0,0,없음,129,6,써마지,"써마지(200); 울쎄라(19); 인모드(3); 슈링크(3); 볼뉴머(2); 올리지오(1)"
울쎄라,100,2025-10-13 ~ 2025-11-06,4.8,12,병원발행,82,12,82,6,0,0,0,0,0,HIGH,0.8,9,2025-10-24,12,0,0,이민호(1),6,6,울쎄라,"울쎄라(200); 써마지(44); 슈링크(13); 인모드(4); 올리지오(3); 볼뉴머(1)"
올리지오,68,2025-10-10 ~ 2025-11-06,4,18,기업소식,38.2,38.2,27.9,19.1,0,0,0,0,0,HIGH,0.8,4,2025-10-13,18,0,0,없음,17,6,올리지오,"올리지오(120); 슈링크(9); 울쎄라(4); 인모드(3); 써마지(2); 볼뉴머(1)"
쿨페이즈,53,2025-10-17 ~ 2025-11-05,4.8,15,기업소식,73.6,73.6,7.5,1.9,0,0,11.3,0,0,HIGH,0.8,3,2025-11-05,15,3,3,없음,3,1,쿨페이즈,쿨페이즈(49)
볼뉴머,52,2025-10-10 ~ 2025-11-04,4.3,24,기업소식,57.7,57.7,34.6,0,0,0,0,0,0,HIGH,0.8,3,2025-10-24,24,2,2,없음,0,5,볼뉴머,"볼뉴머(96); 슈링크(39); 써마지(3); 울쎄라(1); 올리지오(1)"
덴서티,49,2025-10-08 ~ 2025-11-03,4.1,14,기업소식,49,49,40.8,10.2,0,0,0,0,0,MEDIUM,0.6,4,2025-10-31,14,0,0,없음,21,5,덴서티,"덴서티(49); 울쎄라(5); 써마지(5); 슈링크(3); 올리지오(3)"
세르프,26,2025-10-08 ~ 2025-10-31,2.2,10,병원발행,88.5,11.5,88.5,0,0,0,0,0,0,MEDIUM,0.6,1,2025-10-16,10,0,0,없음,0,5,세르프,"세르프(26); 울쎄라(6); 써마지(4); 슈링크(3); 올리지오(1)"
인모드,24,2025-10-10 ~ 2025-11-06,1.7,6,병원발행,58.3,37.5,58.3,0,0,0,0,0,0,LOW,0.3,1,2025-10-27,6,0,0,없음,2,5,인모드,"인모드(48); 슈링크(9); 울쎄라(6); 써마지(6); 올리지오(3)"
텐써마,15,2025-10-10 ~ 2025-11-03,1.4,3,병원발행,80,20,80,0,0,0,0,0,0,NONE,0,0,2025-10-15,3,0,0,없음,1,4,텐써마,"텐써마(15); 울쎄라(3); 써마지(2); 슈링크(2)"
리니어지,11,2025-10-11 ~ 2025-10-30,2.2,7,병원발행,63.6,27.3,63.6,0,0,0,0,0,0,LOW,0.3,1,2025-10-16,7,0,0,없음,2,4,리니어지,"리니어지(11); 울쎄라(2); 써마지(1); 올리지오(1)"
튠페이스,11,2025-10-10 ~ 2025-11-05,1.1,2,병원발행,81.8,18.2,81.8,0,0,0,0,0,0,NONE,0,0,2025-10-20,2,0,0,없음,0,5,튠페이스,"튠페이스(8); 울쎄라(7); 써마지(6); 슈링크(5); 올리지오(3)"
쿨소닉,8,2025-10-10 ~ 2025-10-31,1.1,2,병원발행,62.5,25,62.5,0,0,0,0,0,0,NONE,0,0,2025-10-29,2,0,0,없음,0,3,쿨소닉,"쿨소닉(7); 울쎄라(2); 써마지(2)"
리프테라,7,2025-10-15 ~ 2025-11-06,1.2,2,병원발행,42.9,14.3,42.9,14.3,0,0,0,0,0,NONE,0,0,2025-10-17,2,0,0,없음,0,1,리프테라,리프테라(7)
브이로,4,2025-10-14 ~ 2025-10-30,1.3,2,병원발행,100,0,100,0,0,0,0,0,0,NONE,0,0,2025-10-16,2,0,0,없음,0,4,브이로,"브이로(4); 인모드(2); 슈링크(1); 올리지오(1)"
텐쎄라,3,2025-10-27 ~ 2025-10-31,1,1,병원발행,100,0,100,0,0,0,0,0,0,NONE,0,0,2025-10-27,1,0,0,없음,0,1,텐쎄라,텐쎄라(3)
튠라이너,1,2025-10-21 ~ 2025-10-21,1,1,병원발행,100,0,100,0,0,0,0,0,0,NONE,0,0,2025-10-21,1,0,0,없음,0,4,울쎄라,"울쎄라(1); 써마지(1); 슈링크(1); 튠라이너(1)"
